name	pool_size	runtime_sec
pairs_55dace2	672	50.4
pairs_56f2fb7	633	49.3
pairs_57903c6	650	57.629999999999995
pairs_579fa20	665	47.25
pairs_57c235d	658	59.37
pairs_58daa65	652	46.599999999999994
pairs_594d2b8	682	50.730000000000004
pairs_59c0e9d	633	45.96
pairs_59f5bef	671	57.480000000000004
pairs_5a08728	660	57.84
pairs_5a0a615	652	46.96
pairs_5ba65e3	671	52.660000000000004
pairs_5ba74d4	666	55.629999999999995
pairs_5bcbc07	648	52.260000000000005
pairs_5bcc2e2	676	54.16
pairs_5bcd141	667	46.47
pairs_5c00289	664	51.22
pairs_5cb7638	634	58.44
pairs_5dd32f9	677	60.02
pairs_5f40297	625	58.51
pairs_60ccdd8	664	57.199999999999996
pairs_6487e0f	650	58.370000000000005
pairs_655c6c4	632	55.45
pairs_65a38f7	657	59.11
pairs_65bb5c1	677	56.6
pairs_65cf964	635	56.459999999999994
pairs_664c22a	662	56.42
pairs_6718ea7	635	46.5
pairs_67c731a	635	57.78
pairs_68f05ec	668	59.11
pairs_68f4754	652	59.55
pairs_6935535	667	59.620000000000005
pairs_6a1bb46	638	58.519999999999996
pairs_6b32ed9	638	46.56
pairs_6de3e7c	668	50.99
pairs_6de7ae3	642	50.95
pairs_7141ece	657	52.959999999999994
pairs_71a635b	628	54.46
pairs_71c7518	674	56.31999999999999
pairs_7212d6b	666	56.900000000000006
pairs_72b7309	659	57.379999999999995
pairs_72bfaf8	677	47.1
pairs_72f6f5d	626	46.39
pairs_730b7f8	650	57.67999999999999
pairs_736fc0a	646	58.87
pairs_7439ba6	673	53.12
pairs_752e0f2	651	57.71
pairs_75c28cf	653	58.08
pairs_75f7983	680	52.91
pairs_7690909	629	58.45
pairs_76c59d1	646	53.74
pairs_76fae2e	641	59.35
pairs_78fec58	679	58.879999999999995
pairs_7acff05	631	50.809999999999995
pairs_7c43a08	682	57.5
pairs_7d7f67b	661	50.7
pairs_80b00dc	640	58.03999999999999
pairs_80f8f85	666	52.91
pairs_8116c00	648	57.14
pairs_83153ef	654	54.04
pairs_8481ff0	671	55.5
pairs_8493ea7	660	55.44
pairs_853fbd1	631	58.55
pairs_858b9be	670	55.900000000000006
pairs_85eb3d0	630	52.35
pairs_8793db3	638	55.3
pairs_87b1fa2	682	46.97
pairs_88b9499	653	46.25
pairs_88ef24a	657	58.6
pairs_88f4bd8	643	55.44
pairs_898ba11	660	58.25
pairs_8993be2	682	47.57
pairs_8a49d3f	625	55.190000000000005
pairs_8ac4238	674	47.55
pairs_8af77d1	646	53.93
pairs_8c24bee	649	57.74
pairs_8ca7b9e	659	58.59
pairs_8d379a3	681	59.239999999999995
pairs_8e4acca	644	46.53
pairs_8e628eb	653	57.19
pairs_8ed473c	655	55.400000000000006
pairs_8f32283	667	46.89
pairs_8fc01e5	669	55.550000000000004
pairs_8fd4f33	670	58.37
pairs_919beb4	662	57.01
pairs_91dde45	638	47.17
pairs_92db494	668	52.87
pairs_935441a	660	58.67
pairs_93aec05	639	58.3
pairs_93c0177	628	50.53
pairs_93d7530	653	59.55
pairs_961001f	672	59.88
pairs_97cb2a1	627	57.760000000000005
pairs_9855fc9	644	55.94
pairs_98ab81b	666	59.739999999999995
pairs_98ff404	663	59.64
pairs_9bf9059	664	47.68
pairs_9c62a7e	677	56.84
pairs_9dbac6b	646	55.6
pairs_9fcefbf	654	55.419999999999995
pairs_a1350f0	662	58.690000000000005
pairs_a2ab512	661	55.29
pairs_a338c95	634	52.28
pairs_a35768d	657	47.199999999999996
pairs_a4453bb	672	47.870000000000005
pairs_a5d43ca	684	49.699999999999996
pairs_a6be079	659	59.25
pairs_a7b8d0b	646	51.75
pairs_a923d8e	645	46.45
pairs_a9778f3	666	46.39
pairs_a9c2f8a	651	54.07
pairs_aa256e0	644	56.58
pairs_aa4416c	660	53.67
pairs_aa8590d	666	58.230000000000004
pairs_aad982f	666	55.449999999999996
pairs_ab36810	631	51.14
pairs_ab6a8fc	640	47.83
pairs_ad25b6b	657	49.010000000000005
pairs_ae40844	665	53.86
pairs_b01652f	673	50.76
pairs_b1ad301	631	56.31
pairs_b1c025e	628	46.379999999999995
pairs_b227e5a	626	46.169999999999995
pairs_b307335	654	47.239999999999995
pairs_b31f9e2	658	58.620000000000005
pairs_b4df40b	662	58.33
pairs_b538ad0	652	52.78
pairs_b612999	660	56.47
pairs_b6704a5	658	52.48
pairs_b932f9d	624	48.67999999999999
pairs_babd23d	626	58.13
pairs_bb78fa5	652	48.370000000000005
pairs_bbba7b8	681	51.16
pairs_bbbafdb	655	57.129999999999995
pairs_bc3818c	661	55.71
pairs_bc56958	624	49.45
pairs_bcc8ed8	634	53.35
pairs_bdba6fa	660	58.98
pairs_bddaf01	633	56.18
pairs_c0c8cb2	669	54.1
pairs_c18f2fb	678	49.800000000000004
pairs_c298bcf	654	49.980000000000004
pairs_c491506	655	49.1
pairs_c601564	647	58.05
pairs_c92717f	624	53.22
pairs_ca14b03	637	56.69
pairs_cac2f19	630	57.77
pairs_cc0cb46	630	58.49
pairs_cd21fdb	656	52.35
pairs_ce426f2	671	51.13
pairs_ce51daa	625	50.18000000000001
pairs_cfcdec8	667	56.71
pairs_d0b5212	657	52.15
pairs_d31b9fd	684	46.97
pairs_d3fc7a0	631	57.3
pairs_d461ad7	669	60.36
pairs_d47a816	635	58.39
pairs_d5d8c70	682	58.489999999999995
pairs_d86fcef	639	57.53
pairs_d94e781	662	48.74
pairs_d9a3d2b	666	48.31
pairs_d9cb1cc	634	53.989999999999995
pairs_da4c70d	628	55.98
pairs_da6a509	669	57.56
pairs_da875cd	653	51.8
pairs_dadf4c1	675	56.239999999999995
pairs_daed8bb	643	55.279999999999994
pairs_dc0c094	670	54.08
pairs_dd79c07	647	58.56
pairs_ddceed3	652	50.75
pairs_dec1e04	633	56.93
pairs_deda5d9	684	47.25
pairs_e05b9e0	625	51.29
pairs_e0d4e61	641	47.699999999999996
pairs_e230426	670	55.49
pools_5k_089e248	5109	3034.61
pools_5k_19fc40d	5109	2968.8599999999997
pools_5k_7ecf09e	5109	2984.7
pairs_08e6248	1867	352.45000000000005
pairs_0d69991	1858	326.11
pairs_1a9ca2e	1839	321.8
pairs_1f7f0f7	1893	323.58000000000004
pairs_2adb2f3	1847	319.38
pairs_3667df7	1882	321.69
pairs_3b6affb	1842	321.79
pairs_403aa41	1852	320.51
pairs_502d5d5	1843	333.51000000000005
pairs_627443b	1885	327.72
pairs_6d6abfa	1864	322.71
pairs_775a064	1851	325.94
pairs_8940fd5	1889	318.81
pairs_8a7a17f	1887	319.71999999999997
pairs_aa11729	1873	322.84999999999997
pairs_c72ff72	1840	318.03
pairs_cafca11	1838	317.5
pairs_d3ee48c	1884	322.66
pairs_e3d23b8	1870	319.37
pairs_e7a61f4	1876	325.52000000000004
pairs_e801f6f	1859	321.82
pairs_f5bf9f8	1881	334.17
pairs_f90f67d	1894	324.12
pools_2k_60f39b1	1870	343.97
pools_2k_620d330	1883	345.36
pools_2k_7d69f04	1845	337.78000000000003
pools_2k_9b596ec	1864	358.12
pools_2k_b332bcf	1877	326.11
pools_2k_da13985	1893	335.3
pools_2k_df9e9ba	1884	352.87
pools_2k_e253f1f	1858	346.7
pools_2k_f6c6343	1880	330.34000000000003
pairs_a8a01c2	2078	549.25
pools_2k_07cb165	2080	528.26
pools_2k_0b1b2af	2079	549.16
pools_2k_1fb1667	2078	536.91
pools_2k_249a102	2080	555.05
pools_2k_2a72f5d	2081	548.31
pools_2k_318955c	2080	552.72
pools_2k_340b25f	2077	531.8
pools_2k_3e9d5c8	2078	550.5699999999999
pools_2k_424e601	2077	541.74
pools_2k_5658fad	2078	546.0600000000001
pools_2k_5683286	2078	551.21
pools_2k_5ef081a	2080	531.12
pools_2k_6473d08	2080	556.99
pools_2k_6da193c	2080	552.24
pools_2k_6e0e4b9	2079	549.36
pools_2k_9a47a83	2079	532.05
pools_2k_a5a2519	2079	552.25
pools_2k_a64e9cf	2080	557.0899999999999
pools_2k_b46b780	2078	549.77
pools_2k_c89e43d	2080	519.1
pools_2k_ca382a2	2078	540.16
pools_2k_ec20018	2080	552.93
pools_2k_f5e790f	2081	540.49
pools_2k_f9df684	2080	532.99
pairs_4756c13	2085	550.94
pairs_70050e4	2086	520.72
pairs_816807e	2087	517.82
pools_2k_023683e	2086	548.3199999999999
pools_2k_0e8e4a7	2085	523.8299999999999
pools_2k_0f4c119	2085	530.36
pools_2k_19b4dfe	2085	549.23
pools_2k_1dc1598	2087	545.36
pools_2k_25db934	2088	541.28
pools_2k_2ab4758	2086	550.84
pools_2k_2f8b384	2085	538.77
pools_2k_4aafe85	2086	538.4300000000001
pools_2k_4d5ba68	2084	555.99
pools_2k_624144f	2087	545.61
pools_2k_654acf5	2087	556.5500000000001
pools_2k_709ec89	2085	556.72
pools_2k_71d452b	2084	544.0
pools_2k_7ed427e	2086	541.86
